Month,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,Number of counted days,Total no. of days in month
Jan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.566666666666666,49.8,138.16666666666666,222.13333333333333,262.06666666666666,256.8,223.1,181.1,106.5,34.43333333333333,1.9,0.0,0.0,0.0,0.0,0.0,0.0,30,31
Feb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.37037037037037,99.66666666666667,208.2962962962963,303.2962962962963,339.8888888888889,345.3333333333333,331.44444444444446,284.962962962963,194.4814814814815,98.74074074074075,21.51851851851852,0.0,0.0,0.0,0.0,0.0,0.0,27,28
Mar,0.0,0.0,0.0,0.0,0.0,0.0,14.35483870967742,82.96774193548387,208.32258064516128,305.61290322580646,415.38709677419354,488.8709677419355,505.5806451612903,463.8709677419355,397.0967741935484,305.16129032258067,192.06451612903226,71.25806451612904,8.96774193548387,0.0,0.0,0.0,0.0,0.0,31,31
Apr,0.0,0.0,0.0,0.0,0.0,9.133333333333333,70.13333333333334,203.13333333333333,325.7,437.26666666666665,513.4333333333333,558.0333333333333,560.1,580.2333333333333,503.6666666666667,369.1666666666667,243.3,125.5,30.466666666666665,0.36666666666666664,0.0,0.0,0.0,0.0,30,30
May,0.0,0.0,0.0,0.0,0.06451612903225806,34.354838709677416,128.09677419354838,257.7741935483871,388.0967741935484,544.8064516129032,635.1612903225806,687.7741935483871,701.0967741935484,636.741935483871,576.8387096774194,461.06451612903226,307.35483870967744,184.06451612903226,67.70967741935483,5.0,0.0,0.0,0.0,0.0,31,31
Jun,0.0,0.0,0.0,0.0,4.321428571428571,54.42857142857143,166.75,324.5,470.57142857142856,570.6428571428571,728.3214285714286,780.5,812.3928571428571,776.4642857142857,654.3214285714286,547.75,431.7857142857143,261.89285714285717,117.17857142857143,23.892857142857142,0.0,0.0,0.0,0.0,28,30
Jul,0.0,0.0,0.0,0.0,1.1666666666666667,37.766666666666666,138.83333333333334,262.56666666666666,414.7,547.8,644.6,708.1,772.5,713.9,597.7333333333333,503.06666666666666,368.9,225.2,108.23333333333333,20.666666666666668,0.0,0.0,0.0,0.0,30,31
Aug,0.0,0.0,0.0,0.0,0.0,15.129032258064516,94.80645161290323,229.09677419354838,355.61290322580646,468.2258064516129,570.7741935483871,626.9032258064516,648.0,632.8709677419355,575.3225806451613,445.2258064516129,314.38709677419354,169.96774193548387,57.29032258064516,5.354838709677419,0.0,0.0,0.0,0.0,31,31
Sep,0.0,0.0,0.0,0.0,0.0,0.1,39.9,151.9,285.8,409.26666666666665,512.5333333333333,520.7666666666667,562.8,473.3333333333333,412.3,308.3,193.36666666666667,74.9,5.5,0.0,0.0,0.0,0.0,0.0,30,30
Oct,0.0,0.0,0.0,0.0,0.0,0.0,13.516129032258064,76.12903225806451,187.41935483870967,292.64516129032256,351.3225806451613,372.2258064516129,382.4193548387097,334.0,290.3225806451613,185.1290322580645,77.93548387096774,13.96774193548387,0.0,0.0,0.0,0.0,0.0,0.0,31,31
Nov,0.0,0.0,0.0,0.0,0.0,0.0,0.034482758620689655,21.79310344827586,86.89655172413794,156.82758620689654,219.17241379310346,255.41379310344828,239.72413793103448,216.06896551724137,158.27586206896552,87.58620689655173,23.586206896551722,0.034482758620689655,0.0,0.0,0.0,0.0,0.0,0.0,29,30
Dec,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.066666666666666,50.63333333333333,115.16666666666667,194.7,233.66666666666666,245.03333333333333,208.7,152.96666666666667,79.13333333333334,18.066666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,31
