Month,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
01,14.476793118367095,16.721693008340967,14.616456414856776,13.94024447504613,15.573841548980646,16.02032706793968,14.52871048446516,21.325414052556454,28.117401759206448,32.05218402950323,39.06500566609033,38.587066538219375,35.96325715725161,39.677063189351614,37.51972077009033,37.09592842961936,32.70511884145806,22.44506622429033,17.35124484611,16.69251897963419,17.21609961447806,15.743186628570967,14.8972421410329,14.8973087339329
02,15.560054902229641,14.627455381595714,14.759623806708214,16.0491067164625,14.947790812803573,14.617984878493926,14.938806224334996,22.88360140807857,26.98979085241071,32.69592986606072,38.18054092001072,40.16394177669999,35.52924312041072,40.01283079695714,37.65725787339643,36.75443255355357,33.668614400025,22.885400915167857,15.5962720836125,17.774041929738214,18.396265155775,14.631165760830001,14.93831547115107,15.870609415270712
03,14.648191197154839,14.291740757400323,14.890255269154519,13.858499562287099,15.081410524398386,14.625848581638062,19.04752889944516,26.255179548106124,29.948657603480644,35.07882066225807,38.63003720617097,36.03974971697742,37.540291444354835,38.90139514030323,36.179162854074185,33.89138547948709,25.319668393483866,18.879215782064517,16.59779206068935,16.781755154014515,15.85818664616,14.345851695265159,14.875634894373874,14.610321199103227
04,14.650805306279333,12.739358245554332,13.510176856636003,13.633682073931672,13.636560163219336,14.210048684596332,19.560905777887335,24.67028267369,27.74282248233334,34.961096075899995,35.45783603955667,31.77891809355999,36.1762543018,34.27632202125333,32.36901106883334,28.662254963003324,21.309907793499995,15.399265445862662,14.532027044241001,16.461325197322665,13.444652227613336,13.375057472102668,14.181803723249667,12.764433597986665
05,10.939622494175483,13.178814007877095,12.472476502599033,11.36558717285742,13.179097675857742,11.553166934670326,18.564545288200325,22.943101389287413,26.539932453248387,31.856970114280653,32.54412718236774,28.2432025547,32.5867410853,31.973571585445168,30.793599767083876,26.385883916335484,18.081164176616124,14.606333865144512,14.60477329414516,13.018219536170967,13.366442030160647,11.779146589242583,12.868741522961614,12.649077148933548
06,12.586397010569334,11.068059021740664,9.384043206749668,12.415378002472,11.291241973336668,10.713357556908,16.85273803830767,21.35596062778467,24.827645281176668,28.04759430191333,29.437968375040004,26.41866968254,30.34170303894,29.42067488816,26.445692307863332,25.395131556353338,16.821265477302333,11.844665152675333,13.520193697764002,12.467349439627665,11.581801515716668,11.316052798374335,10.977844036330998,10.713224828806666
07,11.718129647918387,9.685715270704517,10.757390596724191,10.082168818618067,11.200030529123547,10.64109854262839,15.08290156324226,18.16822454884581,22.84062828201936,25.40935399807097,28.309830255370965,24.46498090023226,26.162422190241944,27.264538547996775,24.33559048,22.402618996000005,15.385653755891292,13.568767237799998,11.215168618289033,12.336625818041291,9.803941051913545,10.641016942716453,10.640944125926772,10.123085076682584
08,9.522018710712258,10.276766952568387,10.723789096046131,10.91965497245516,10.415740572119352,9.559807855473547,15.865449744999353,20.408167617182905,22.36374981238387,26.43219378806774,27.714559710400003,25.151971537658063,27.857295593125812,25.85865317024516,26.963265949212904,21.51136176015484,16.42296250738323,10.82645073213484,13.736181161885163,11.495992206013868,10.08307100271258,10.919533003522579,10.919654537302582,10.36088690894516
09,11.288848454270001,10.133080688099666,11.577688693327667,11.288738164571331,10.13326808071333,11.289156796177997,15.718003921900332,20.290867940947,23.84412171049333,26.751709410886658,30.01217210342001,25.19166625654,27.656714647550004,28.550624089510002,26.40776871219333,23.567985831159994,16.159660885023666,13.519341766941666,11.698501029383667,13.332669287197666,10.712661439238,10.71086732481433,11.577743031358999,10.711102676776997
10,11.215932660333873,12.89533919245742,11.776194695881294,12.335634588850645,12.331624872632903,10.940549377106775,18.053022276041293,21.787509890870968,27.24951577066452,28.812288012341934,32.1216726969,28.0296258189871,31.82398920665161,30.103506031829035,28.619382905651612,25.579081036448382,18.726348430999998,14.320530520845809,13.479352677903229,13.477151820431937,12.89830968027742,11.77566813478,11.495619367438385,12.615956162431292
11,14.037280532662997,12.182071312032333,14.498525114280664,12.521286608502333,13.869519931104332,12.493190929407332,14.785728391409664,20.526480925525007,24.265795079136662,30.216845851109994,33.991068772176675,33.49852998702001,32.22978077788334,34.636981038356666,33.339281843760006,32.81992518358333,26.726346715806663,19.884308178899666,15.952148838054331,13.647273639614998,15.683503239132332,13.34276820929167,13.236237197796333,13.036531946540334
12,14.887728884886776,14.887753987029354,13.765417131055809,14.04211335553258,14.891680346803872,14.228165794770966,14.425930924851617,22.018350746820968,24.47425114764516,31.09358394813871,34.98025813677742,37.33937974418064,34.32243966403548,37.0614211801258,36.30896786675808,34.18047315572903,31.74144009067097,20.572610840796777,16.60439211562258,17.163321703864515,15.761462635251293,15.17151116959742,14.870043240442586,13.222212652836129
